VERBOS COMUNES EN DESARROLLO (Verbos comunes),build,bíld,construir
VERBOS COMUNES EN DESARROLLO (Verbos comunes),run,ran,correr
VERBOS COMUNES EN DESARROLLO (Verbos comunes),test, tést,probar
VERBOS COMUNES EN DESARROLLO (Verbos comunes),deploy,dí-ploy,desplegar
VERBOS COMUNES EN DESARROLLO (Verbos comunes),commit,kó-mit,confirmar
VERBOS COMUNES EN DESARROLLO (Verbos comunes),push,púsh,pulsar
VERBOS COMUNES EN DESARROLLO (Verbos comunes),pull,púl,extraer
VERBOS COMUNES EN DESARROLLO (Verbos comunes),debug,dí-bág,depurar
VERBOS COMUNES EN DESARROLLO (Verbos comunes),code,kóud,codificar
VERBOS COMUNES EN DESARROLLO (Verbos comunes),compile,kóm-pail,compilar
VERBOS COMUNES EN DESARROLLO (Verbos comunes),execute,ég-zé-kiut,ejecutar
VERBOS COMUNES EN DESARROLLO (Verbos comunes),refactor,ri-fá-ktor,refactorizar
VERBOS COMUNES EN DESARROLLO (Verbos comunes),import,ím-pórt,importar
VERBOS COMUNES EN DESARROLLO (Verbos comunes),export,ék-spórt,exportar
VERBOS COMUNES EN DESARROLLO (Verbos comunes),render,rénder,representar
VERBOS COMUNES EN DESARROLLO (Verbos comunes),crash,krásh,fallar
VERBOS COMUNES EN DESARROLLO (Verbos comunes),update,áp-deit,actualizar
VERBOS COMUNES EN DESARROLLO (Verbos comunes),install,ín-stól,instalar
VERBOS COMUNES EN DESARROLLO (Verbos comunes),uninstall,án-ín-stól,desinstalar
VERBOS COMUNES EN DESARROLLO (Verbos comunes),clone,klóun,clonar
SUSTANTIVOS CLAVE (Sustantivos),function,fánk-shon,función
SUSTANTIVOS CLAVE (Sustantivos),variable,vá-ri-á-bul,variable
SUSTANTIVOS CLAVE (Sustantivos),array,ar-réi,arreglo
SUSTANTIVOS CLAVE (Sustantivos),string,stri-ng,cadena
SUSTANTIVOS CLAVE (Sustantivos),object,ób-dyect, objeto
SUSTANTIVOS CLAVE (Sustantivos),number,nám-ber,número
SUSTANTIVOS CLAVE (Sustantivos),boolean,bú-li-an,booleano
SUSTANTIVOS CLAVE (Sustantivos),loop,lúp,bucle
SUSTANTIVOS CLAVE (Sustantivos),condition,kon-dí-shon,condición
SUSTANTIVOS CLAVE (Sustantivos),parameter,pá-ramé-ter,parámetro
SUSTANTIVOS CLAVE (Sustantivos),argument,ár-gyu-ment,argumento
SUSTANTIVOS CLAVE (Sustantivos),return,ri-térn,devolver
SUSTANTIVOS CLAVE (Sustantivos),class,klás,clase
SUSTANTIVOS CLAVE (Sustantivos),method,mé-thod,método
SUSTANTIVOS CLAVE (Sustantivos),scope,skóup,alcance
SUSTANTIVOS CLAVE (Sustantivos),event,ivént,evento
SUSTANTIVOS CLAVE (Sustantivos),callback,kól-bák,función de retorno
