VERBOS COMUNES EN DESARROLLO (Verbos comunes),build,bíld,construir,14000
VERBOS COMUNES EN DESARROLLO (Verbos comunes),run,ran,correr,14001
VERBOS COMUNES EN DESARROLLO (Verbos comunes),test, tést,probar,14002
VERBOS COMUNES EN DESARROLLO (Verbos comunes),deploy,dí-ploy,desplegar,14003
VERBOS COMUNES EN DESARROLLO (Verbos comunes),commit,kó-mit,confirmar,14004
VERBOS COMUNES EN DESARROLLO (Verbos comunes),push,púsh,pulsar,14005
VERBOS COMUNES EN DESARROLLO (Verbos comunes),pull,púl,extraer,14006
VERBOS COMUNES EN DESARROLLO (Verbos comunes),debug,dí-bág,depurar,14007
VERBOS COMUNES EN DESARROLLO (Verbos comunes),code,kóud,codificar,14008
VERBOS COMUNES EN DESARROLLO (Verbos comunes),compile,kóm-pail,compilar,14009
VERBOS COMUNES EN DESARROLLO (Verbos comunes),execute,ég-zé-kiut,ejecutar,14010
VERBOS COMUNES EN DESARROLLO (Verbos comunes),refactor,ri-fá-ktor,refactorizar,14011
VERBOS COMUNES EN DESARROLLO (Verbos comunes),import,ím-pórt,importar,14012
VERBOS COMUNES EN DESARROLLO (Verbos comunes),export,ék-spórt,exportar,14013
VERBOS COMUNES EN DESARROLLO (Verbos comunes),render,rénder,representar,14014
VERBOS COMUNES EN DESARROLLO (Verbos comunes),crash,krásh,fallar,14015
VERBOS COMUNES EN DESARROLLO (Verbos comunes),update,áp-deit,actualizar,14016
VERBOS COMUNES EN DESARROLLO (Verbos comunes),install,ín-stól,instalar,14017
VERBOS COMUNES EN DESARROLLO (Verbos comunes),uninstall,án-ín-stól,desinstalar,14018
VERBOS COMUNES EN DESARROLLO (Verbos comunes),clone,klóun,clonar,14019
SUSTANTIVOS CLAVE (Sustantivos),function,fánk-shon,función,14020
SUSTANTIVOS CLAVE (Sustantivos),variable,vá-ri-á-bul,variable,14021
SUSTANTIVOS CLAVE (Sustantivos),array,ar-réi,arreglo,14022
SUSTANTIVOS CLAVE (Sustantivos),string,stri-ng,cadena,14023
SUSTANTIVOS CLAVE (Sustantivos),object,ób-dyect, objeto,14024
SUSTANTIVOS CLAVE (Sustantivos),number,nám-ber,número,14025
SUSTANTIVOS CLAVE (Sustantivos),boolean,bú-li-an,booleano,14026
SUSTANTIVOS CLAVE (Sustantivos),loop,lúp,bucle,14027
SUSTANTIVOS CLAVE (Sustantivos),condition,kon-dí-shon,condición,14028
SUSTANTIVOS CLAVE (Sustantivos),parameter,pá-ramé-ter,parámetro,14029
SUSTANTIVOS CLAVE (Sustantivos),argument,ár-gyu-ment,argumento,14030
SUSTANTIVOS CLAVE (Sustantivos),return,ri-térn,devolver,14031
SUSTANTIVOS CLAVE (Sustantivos),class,klás,clase,14032
SUSTANTIVOS CLAVE (Sustantivos),method,mé-thod,método,14033
SUSTANTIVOS CLAVE (Sustantivos),scope,skóup,alcance,14034
SUSTANTIVOS CLAVE (Sustantivos),event,ivént,evento,14035
SUSTANTIVOS CLAVE (Sustantivos),callback,kól-bák,función de retorno,14036
SUSTANTIVOS CLAVE (Sustantivos),constant,kón-stant,constante,14037
SUSTANTIVOS CLAVE (Sustantivos),type,táip,tipo,14038
SUSTANTIVOS CLAVE (Sustantivos),operator,ó-peré- tor,operador,14039
ADJETIVOS TÉCNICOS (Adjetivos),static,stá-tik,estático,14040
ADJETIVOS TÉCNICOS (Adjetivos),dynamic,dái-ná-mik, dinámico,14041
ADJETIVOS TÉCNICOS (Adjetivos),async,é- sínk,asíncrono,14042
ADJETIVOS TÉCNICOS (Adjetivos),synchronous,sín-kro-nas,síncrono,14043
ADJETIVOS TÉCNICOS (Adjetivos),global,glóu-bul,global,14044
ADJETIVOS TÉCNICOS (Adjetivos),local,lóu-kal,local,14045
