ADVERBIOS (Tiempo),now,nau,ahora
ADVERBIOS (Tiempo),then,ðen,luego
ADVERBIOS (Tiempo),today,tudéi,hoy
ADVERBIOS (Tiempo),tomorrow,tomó-rou,mañana
ADVERBIOS (Tiempo),yesterday,yé-ster-déi,ayer
ADVERBIOS (Tiempo),soon,sun,pronto
ADVERBIOS (Tiempo),later,léi-ter,luego
ADVERBIOS (Tiempo),early,ér-li,temprano
ADVERBIOS (Tiempo),late,leít,tarde
ADVERBIOS (Tiempo),already,ól-red-i,ya
ADVERBIOS (Tiempo),still,stíl,aún
ADVERBIOS (Tiempo),yet,yet,aún
ADVERBIOS (Tiempo),just,just,justo
ADVERBIOS (Tiempo),finally,fáin-al-li,finalmente
ADVERBIOS (Tiempo),recently,rís-nt-li,recientemente
ADVERBIOS (Tiempo),always,ól-weis,siempre
ADVERBIOS (Tiempo),never,né-ver,nunca
ADVERBIOS (Tiempo),ever,é-ver,alguna vez
ADVERBIOS (Tiempo),often,óf-en,a menudo
ADVERBIOS (Tiempo),sometimes,sám-taims,a veces
ADVERBIOS (Frecuencia),always,ól-weis,siempre
ADVERBIOS (Frecuencia),usually,jú-ual-li,usualmente
ADVERBIOS (Frecuencia),often,óf-en,a menudo
ADVERBIOS (Frecuencia),sometimes,sám-taims,a veces
ADVERBIOS (Frecuencia),rarely,rér-li,poco frecuentemente
ADVERBIOS (Frecuencia),never,né-ver,nunca
ADVERBIOS (Frecuencia),daily,deil-i,diariamente
ADVERBIOS (Frecuencia),weekly,wi-kli,semanalmente
ADVERBIOS (Frecuencia),monthly,mán-thli,mensualmente
ADVERBIOS (Frecuencia),annually,án-nu-al-li,anualmente
ADVERBIOS (Frecuencia),occasionally,okéi-sho-nal-li,ocasionalmente
ADVERBIOS (Frecuencia),frequently,frí-kwent-li,frecuntemente
ADVERBIOS (Frecuencia),constantly,kón-stant-li,constantemente
ADVERBIOS (Frecuencia),regularly,ré-gu-lar-li,regularmente
ADVERBIOS (Frecuencia),hardly,há-dli,dificilmente
ADVERBIOS (Frecuencia),seldom,sél-dum,rara vez
ADVERBIOS (Frecuencia),intermittently,in-tér-mí-ten-tli,intermitentemente
ADVERBIOS (Frecuencia),repeatedly,ri-pí-ted-li, repetidamente
ADVERBIOS (Frecuencia),every day,év-ri deí,cada día
ADVERBIOS (Frecuencia),once,uan,una vez
ADVERBIOS (Lugar y dirección),here,híer,aquí
ADVERBIOS (Lugar y dirección),there,ðér,allí
ADVERBIOS (Lugar y dirección),everywhere,év-ri-uér,todo lugar
ADVERBIOS (Lugar y dirección),somewhere,sám-uer,lugar desconocido
ADVERBIOS (Lugar y dirección),nowhere,nóu-uer,en ninguna parte
ADVERBIOS (Lugar y dirección),above,abáv,encima
ADVERBIOS (Lugar y dirección),below,bilóu,debajo
ADVERBIOS (Lugar y dirección),inside,ín-said,adentro
ADVERBIOS (Lugar y dirección),outside,áut-said,afuera
ADVERBIOS (Lugar y dirección),upstairs,ap-sterz,arriba
ADVERBIOS (Lugar y dirección),downstairs,daún-sterz,abajo
ADVERBIOS (Lugar y dirección),forward,fór-ward,hacia adelante
ADVERBIOS (Lugar y dirección),backward,bák-wérd,hacia atrás
ADVERBIOS (Lugar y dirección),ahead,a-jéd,delante
ADVERBIOS (Lugar y dirección),behind,bi-háind,atrás
ADVERBIOS (Lugar y dirección),nearby,nír-bai,cerca
ADVERBIOS (Lugar y dirección),far,fár,lejos
ADVERBIOS (Lugar y dirección),away,awéi,lejos
ADVERBIOS (Lugar y dirección),around,ar-áund,alrededor
ADVERBIOS (Lugar y dirección),between,bi-twín,entre
ADVERBIOS (Modo y grado),quickly,kwik-li,rápidamente
ADVERBIOS (Modo y grado),slowly,slóu-li,despacio
ADVERBIOS (Modo y grado),well,uel,bien
ADVERBIOS (Modo y grado),badly,bád-li,mal
ADVERBIOS (Modo y grado),easily,íz-ili,fácilmente
ADVERBIOS (Modo y grado),hardly,há-dli,dificilmente
ADVERBIOS (Modo y grado),carefully,kér-fu-li,cuidadosamente
ADVERBIOS (Modo y grado),carelessly,kér-les-li,descuidadamente
